dim	coefficient
735	0.022863084
736	0.017600998
737	0.0034517655
738	-0.0012833308
739	0.023108862
740	0.031580985
741	-0.013010694
742	-0.06066505
743	-0.07630484
744	0.037404366
745	0.005661331
746	0.09090765
747	0.089025244
748	-0.06633199
749	-0.007478998
750	-0.040206533
751	-0.06387508
752	0.06543872
753	-0.0031410065
754	0.003918367
755	0.012269539
756	-0.034466103
757	0.04192059
758	0.018622885
759	0.011266781
760	0.011606759
761	0.020266531
762	0.08250932
763	-0.00027002208
764	0.013220675
765	0.050621834
766	-0.09587054
767	0.04794593
